Food Name,Store Name,Rice,Noodle,Price,Halal,Spicy,Contains Beef,Contains Chicken,Contains Pork,Contains Dairy,Contains Seafood,Contains Nuts,Contains Eggs,Contain Onions,Contains Spring Onion,Contains Coriander,Contains Garlic,Contains Processed Food,Contains Sides,Ready-To-Serve,Waiting Time,Soup-Based,Dry-Based,High-Fibre Content,High Fried Content,Cuisine,Oil Content
White/Brown Rice + 1 Vegetable + 1 Meat (Chicken) + 1 Seafood,Chinese Economy Rice,1,0,5.4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Pork) + 1 Seafood,Chinese Economy Rice,1,0,5.4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Beef) + 1 Seafood,Chinese Economy Rice,1,0,5.4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Chicken) + 1 Processed Food,Chinese Economy Rice,1,0,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Pork) + 1 Processed Food,Chinese Economy Rice,1,0,4.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Beef) + 1 Processed Food,Chinese Economy Rice,1,0,4.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Chicken) + Egg,Chinese Economy Rice,1,0,3.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Pork) + Egg,Chinese Economy Rice,1,0,3.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable + 1 Meat (Beef) + Egg,Chinese Economy Rice,1,0,3.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Short,0,1,0,0,Chinese,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Chicken),Indian/Muslim Cuisine,1,0,3.9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Beef),Indian/Muslim Cuisine,1,0,3.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Seafood,Indian/Muslim Cuisine,1,0,5.3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown/Rice + 2 Vegetable/Sides + 1 Meat (Chicken),Indian/Muslim Cuisine,1,0,4.8,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,1,0,Muslim,Average
White/Brown/Rice + 2 Vegetable/Sides + 1 Meat (Beef),Indian/Muslim Cuisine,1,0,4.8,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,1,0,Muslim,Average
White/Brown/Rice + 2 Vegetable/Sides + 1 Seafood,Indian/Muslim Cuisine,1,0,6.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,1,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Chicken) + 1 Processed Food,Indian/Muslim Cuisine,1,0,5,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Beef) + 1 Processed Food,Indian/Muslim Cuisine,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Seafood + 1 Processed Food ,Indian/Muslim Cuisine,1,0,6.4,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Chicken)+ 1 Egg,Indian/Muslim Cuisine,1,0,4.6,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Beef) + 1 Egg,Indian/Muslim Cuisine,1,0,4.6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Seafood + 1 Egg,Indian/Muslim Cuisine,1,0,6,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 2 Meat (Chicken),Indian/Muslim Cuisine,1,0,5.6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 2 Meat (Beef),Indian/Muslim Cuisine,1,0,5.6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 2 Seafood,Indian/Muslim Cuisine,1,0,8.1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Chicken) + 1 Seafood,Indian/Muslim Cuisine,1,0,6.7,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
White/Brown Rice + 1 Vegetable/Sides + 1 Meat (Beef) + 1 Seafood,Indian/Muslim Cuisine,1,0,6.7,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,Short,0,1,0,0,Muslim,Average
Nasi Goreng,Indian/Muslim Cuisine,1,0,3.9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Average,0,1,0,1,Muslim,Average
Mee Goreng,Indian/Muslim Cuisine,0,1,3.9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Average,0,1,0,1,Muslim,Average
Nasi Goreng with Ikan Bilis,Indian/Muslim Cuisine,1,0,3.9,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Average,0,1,0,1,Muslim,Average
Mee Goreng with Ikan Bilis,Indian/Muslim Cuisine,0,1,3.9,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Average,0,1,0,1,Muslim,Average
Bee Hoon Goreng with Ikan Bilis,Indian/Muslim Cuisine,0,1,3.9,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Average,0,1,0,1,Muslim,Average
Chicken Briyani Rice with Achar,Indian/Muslim Cuisine,1,0,5.3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,Short,0,1,0,0,Indian,High
Mutton Briyani RIce with Achar,Indian/Muslim Cuisine,1,0,5.3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Short,0,1,0,0,Indian,High
Fish Briyani Rice with Achar,Indian/Muslim Cuisine,1,0,5.3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,Short,0,1,0,0,Indian,High
Ayam Penyet ,Indian/Muslim Cuisine,1,0,6.1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,Short,0,1,0,1,Muslim,Average
Nasi Lemak,Indian/Muslim Cuisine,1,0,3.3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,Short,0,1,0,1,Muslim,Average
